id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
51,George,Hemmings,2,3,45,0.3,0.0,2,25,0,0,0,0,0,0,0,0,0,0,0,5,0.0,1.7,2.0,0.3
52,Alysson Edward Franco,da Rocha dos Santos,2,3,50,0.0,0.0,3,47,0,0,0,2,0,0,0,0,0,0,0,11,3.2,3.5,10.0,1.5
53,Johan,Manzambi,2,3,60,2.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54,Joao,Gomes,2,3,55,0.3,0.0,85,2207,1,1,4,41,0,0,0,9,0,0,4,421,486.6,353.4,176.0,102.0
55,Ollie,Watkins,2,4,80,12.4,0.0,167,2833,16,4,9,38,0,0,0,4,0,0,26,623,720.2,330.9,1206.0,225.2
56,Tammy,Abraham,2,4,55,0.0,0.0,23,278,2,0,0,8,0,0,0,0,0,0,2,93,87.2,49.2,136.0,27.1
160,Alejandro,Garnacho Ferreyra,2,3,60,1.1,0.0,56,1261,1,4,4,20,0,0,0,2,0,0,3,222,211.4,405.3,399.0,100.5
57,Đorđe,Petrović,3,1,45,3.7,0.0,124,3420,0,0,11,54,1,0,0,3,0,109,5,512,822.6,0.0,0.0,82.4
58,Fraser,Forster,3,1,40,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
59,Will,Dennis,3,1,40,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60,James,Hill,3,2,55,1.3,0.0,110,2102,0,3,8,24,2,0,0,5,0,0,4,386,579.4,161.7,119.0,86.3
61,Adrien,Truffert,3,2,55,4.7,0.0,165,3378,1,6,11,51,0,0,0,5,0,0,19,607,857.0,574.2,194.0,162.6
62,Bafodé,Diakité,3,2,50,0.2,0.0,46,1275,0,0,4,27,0,0,0,1,0,0,2,164,267.0,54.3,22.0,34.4
63,Veljko,Milosavljevic,3,2,50,0.1,0.0,19,367,0,0,1,6,0,0,0,0,0,0,0,63,98.4,13.9,10.0,12.2
64,Adam,Smith,3,2,45,0.1,0.0,58,1073,0,2,6,16,0,0,0,3,0,0,4,185,176.2,76.6,18.0,27.1
65,Julián,Araujo Zúñiga,3,2,45,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
66,Julio,Soler Barreto,3,2,40,0.6,0.0,3,34,0,0,0,2,0,0,0,0,0,0,0,2,1.8,2.5,2.0,0.6
67,Rayan Vitor,Simplício Rocha,3,3,65,3.5,0.0,67,1110,5,2,6,10,0,0,0,1,0,0,3,238,277.6,211.9,263.0,75.3
68,Marcus,Tavernier,3,3,60,1.9,0.0,137,2732,7,4,11,44,0,0,0,6,0,0,14,552,656.8,816.6,605.0,207.9
69,Alex,Scott,3,3,60,1.6,0.0,136,2848,3,2,11,41,0,0,0,5,0,0,9,603,597.2,482.0,314.0,139.0
70,Justin,Kluivert,3,3,60,1.0,0.0,41,945,2,0,4,19,0,0,0,5,0,0,3,147,148.0,305.1,135.0,58.8
71,Lewis,Cook,3,3,50,0.1,0.0,40,872,0,1,1,19,0,0,0,1,1,0,0,190,206.8,183.8,12.0,40.6
